initial_diameter_um,time_ms,T_K,p_Pa,rho_kg_m3,O2_fraction,C7H16_fraction,vel_mag_m_s,distance_from_inlet_m,radial_distance_m
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,8.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,9.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,10.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004653153748215439,-0.0025000000000000005,0.03
50,0.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,1.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,2.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,3.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,4.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,5.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,6.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,7.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,8.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,9.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,10.0,800.0,5000000.0,21.69,0.23400000000000007,0.0,0.00042751090428115254,-0.0025000000000000005,0.046097722286464436
50,0.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,1.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,2.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,3.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,4.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,5.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,6.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
50,7.0,800.0,5000000.0,21.69,0.23400000000000004,0.0,0.0004703033299779481,-0.0025000000000000005,0.04527692569068708
