r_over_d,F,Frms,T,Trms,YO2,YO2rms,YN2,YN2rms,YH2,YH2rms,YH2O,YH2Orms,YCH4,YCH4rms,YCO,YCOrms,YCO2,YCO2rms,YOH,YOHrms,YNO,YNOrms,YCOLIF,YCOrms2,TNDR,source_file,axial_location
-0.56,0.7658,0.1093,907.0,309.0,0.129,0.0392,0.674,0.0153,0.00125,0.000609,0.0441,0.0235,0.0955,0.0287,0.0197,0.0119,0.0378,0.0205,4.85e-05,0.000189,9.95e-06,7.7e-06,0.0185,0.0111,0.98,D15,15.0
-0.28,0.8545,0.0769,620.0,205.0,0.161,0.0256,0.665,0.0108,0.000658,0.000415,0.0232,0.0152,0.121,0.0197,0.0095,0.00821,0.02,0.0137,8.06e-06,2.33e-05,4.26e-06,3.62e-06,0.00924,0.00685,0.981,D15,15.0
0.0,0.9082,0.0629,498.0,147.0,0.174,0.0176,0.66,0.0094,0.000381,0.000295,0.0138,0.0104,0.135,0.0148,0.00504,0.00566,0.0118,0.00929,1.26e-06,1.2e-05,2.26e-06,2.28e-06,0.00516,0.00438,1.005,D15,15.0
0.28,0.8852,0.0707,592.0,195.0,0.163,0.0238,0.664,0.0107,0.000577,0.000402,0.02,0.0142,0.128,0.018,0.00845,0.00741,0.0172,0.0122,6.67e-06,1.82e-05,3.43e-06,3.29e-06,0.00784,0.00619,1.022,D15,15.0
0.28,0.8829,0.0785,598.0,211.0,0.163,0.0253,0.664,0.0117,0.000572,0.000396,0.0204,0.0153,0.127,0.0197,0.00849,0.00747,0.0174,0.0129,6.78e-06,2e-05,3.55e-06,3.67e-06,0.00754,0.00645,1.024,D15,15.0
0.56,0.7804,0.1184,919.0,339.0,0.126,0.0422,0.677,0.0172,0.00119,0.000598,0.0439,0.0258,0.0985,0.0314,0.0193,0.0118,0.0364,0.0212,7.6e-05,0.000385,9.75e-06,8.7e-06,0.0176,0.0118,1.022,D15,15.0
0.83,0.621,0.1658,1346.0,391.0,0.0788,0.0459,0.694,0.0201,0.00168,0.00073,0.075,0.0292,0.0576,0.0383,0.0294,0.0142,0.063,0.0276,0.000466,0.000939,2.13e-05,1.38e-05,0.0293,0.0142,1.017,D15,15.0
1.11,0.4138,0.1615,1633.0,316.0,0.0577,0.0441,0.716,0.0215,0.00135,0.000998,0.0921,0.0235,0.0186,0.0257,0.028,0.0193,0.084,0.025,0.00128,0.00127,3.27e-05,1.49e-05,0.0289,0.0183,1.001,D15,15.0
1.39,0.2547,0.131,1516.0,390.0,0.0876,0.0582,0.734,0.0185,0.000549,0.000777,0.0784,0.0285,0.00349,0.0103,0.014,0.0181,0.0797,0.0304,0.00141,0.00121,3.04e-05,1.62e-05,0.0144,0.0171,0.986,D15,15.0
1.67,0.1497,0.1005,1174.0,475.0,0.136,0.0614,0.747,0.014,0.000138,0.00029,0.0541,0.03,0.00037,0.00119,0.00414,0.00886,0.0572,0.0355,0.000783,0.00106,2.01e-05,1.64e-05,0.00477,0.00938,0.983,D15,15.0
1.94,0.0873,0.0717,864.0,419.0,0.172,0.0477,0.755,0.0102,3.44e-05,7.1e-05,0.0351,0.0231,7.31e-06,0.000353,0.000934,0.00271,0.0366,0.0299,0.000246,0.000554,1.16e-05,1.15e-05,0.00113,0.00274,0.986,D15,15.0
2.22,0.0471,0.0475,619.0,309.0,0.198,0.0323,0.76,0.00764,2.12e-05,4e-05,0.0219,0.0154,0.0,0.000199,0.0002,0.00146,0.0202,0.0207,3.87e-05,0.000166,5.53e-06,6.68e-06,0.000437,0.000889,0.99,D15,15.0
2.5,0.026,0.0347,478.0,234.0,0.212,0.0234,0.762,0.00644,1.04e-05,1.86e-05,0.015,0.0114,0.0,0.000127,0.0,0.00109,0.0114,0.0155,1.12e-05,7.51e-05,2.89e-06,4.56e-06,0.000191,0.000244,0.992,D15,15.0
2.78,0.0081,0.0165,353.0,114.0,0.223,0.0119,0.764,0.0047,9.96e-06,1.34e-05,0.00887,0.00537,0.0,8.69e-05,0.0,0.000623,0.00357,0.00738,6.19e-07,3.51e-06,8.32e-07,1.63e-06,5.23e-05,0.000114,0.995,D15,15.0
3.06,0.0007,0.0046,301.0,31.0,0.228,0.00503,0.765,0.0042,6.06e-06,7.39e-06,0.00643,0.00162,0.0,6.67e-05,0.0,0.000421,0.000327,0.00192,1.25e-08,1.34e-07,1.6e-07,3.84e-07,4.04e-05,5.16e-05,0.999,D15,15.0
